,city,lat,lng,max temp(f),humidity(%),cloudiness(%),wind speed(mph),country,date
363,korla,41.76,86.15,34.65,80,0,1.88,CN,1604366442
364,tulun,54.56,100.58,29.5,98,100,4.14,RU,1604366442
365,gushikawa,26.35,127.87,75.2,73,90,19.46,JP,1604366443
366,klaksvik,62.23,-6.59,44.6,81,0,18.34,FO,1604366443
367,kasane,-17.82,25.15,68.27,58,91,5.23,BW,1604366222
368,clarence town,-32.58,151.78,70.0,68,75,16.11,AU,1604366443
369,hirara,24.8,125.28,77.0,73,75,18.34,JP,1604366444
370,inuvik,68.35,-133.72,1.4,77,85,5.82,CA,1604366223
371,mayo,38.89,-76.51,42.8,41,1,3.36,US,1604366444
372,ostrovnoy,68.05,39.51,40.32,85,100,32.17,RU,1604366444
373,merauke,-8.47,140.33,85.6,71,100,5.73,ID,1604366224
374,zhengjiatun,43.51,123.51,28.56,71,0,14.72,CN,1604366445
375,sioux lookout,50.1,-91.92,33.8,80,90,2.24,CA,1604366445
376,mareeba,-17.0,145.43,87.01,53,8,7.0,AU,1604366445
377,tautira,-17.73,-149.15,86.0,58,20,17.22,PF,1604366225
378,wazirganj,28.22,79.05,61.16,30,0,4.9,IN,1604366446
379,loviisa,60.46,26.23,50.0,96,100,5.99,FI,1604366225
380,le port,-20.94,55.29,66.2,63,40,4.7,RE,1604366446
381,lavrentiya,65.58,-171.0,21.24,87,2,2.82,RU,1604366446
382,gat,31.61,34.76,66.99,80,0,2.51,IL,1604366403
